Status,Declaration Name,File Path,Line Number,Last Modified,Age (Months),Age (Days),Last Commit
✅,"EmbeddedToInlineCssStyleSvgPatchHint","ui/src/main/kotlin/org/jetbrains/jewel/ui/painter/hints/EmbeddedToInlineCssStyleSvgPatchHint.kt",14,2025-12-04,1,34,"d77a7e34b4316c65438d1a8e23c5369bfda57bb3"
✅,"ListComboBox","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/ListComboBox.kt",61,2025-11-11,1,57,"2f167d6ea8700c495aab5c6c44d067d58d4019e8"
✅,"ListComboBox","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/ListComboBox.kt",143,2025-11-11,1,57,"2f167d6ea8700c495aab5c6c44d067d58d4019e8"
✅,"ComboBox","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/ComboBox.kt",190,2025-11-11,1,57,"2f167d6ea8700c495aab5c6c44d067d58d4019e8"
✅,"ComboBox","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/ComboBox.kt",416,2025-11-11,1,57,"2f167d6ea8700c495aab5c6c44d067d58d4019e8"
✅,"LazyTree","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/LazyTree.kt",25,2025-10-14,2,85,"97177f5bf80be4de54089c1994c1b706f6fd135c"
✅,"DropdownState","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/Dropdown.kt",191,2025-10-14,2,85,"97177f5bf80be4de54089c1994c1b706f6fd135c"
✅,"Dropdown","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/Dropdown.kt",57,2025-10-14,2,85,"97177f5bf80be4de54089c1994c1b706f6fd135c"
✅,"TabStrip","ui/src/main/kotlin/org/jetbrains/jewel/ui/component/TabStrip.kt",204,2025-10-14,2,85,"97177f5bf80be4de54089c1994c1b706f6fd135c"
✅,"MarkdownProcessor","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/MarkdownProcessor.kt",42,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"HtmlElementConverter","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/html/HtmlElementConverter.kt",12,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"convert","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/html/HtmlElementConverter.kt",19,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"convertInlines","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/html/HtmlElementConverter.kt",38,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"MarkdownHtmlNode","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/html/MarkdownHtmlNode.kt",17,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"Text","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/html/MarkdownHtmlNode.kt",21,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"Element","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/html/MarkdownHtmlNode.kt",34,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"htmlContent","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/html/MarkdownHtmlNode.kt",21,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"Node","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/processing/ProcessingUtil.kt",22,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
✅,"MarkdownHtmlConverterExtension","markdown/core/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/MarkdownHtmlConverterExtension.kt",8,2025-10-08,2,91,"26810a69fc444af7740f2ee0fa38370bf76e75fd"
